Treatment,Nucleus Mean Intensity,Nucleus Area Size,Nucleus Roundness,Nucleus Texture Variance,Texture_Variance_DNA_3_00_256,Texture_Variance_DNA_3_01_256,Texture_Variance_DNA_3_02_256,Texture_Variance_DNA_3_03_256
control,0.022402463,17280,0.561066054,0.959983466,0.972639919,0.949646968,0.962061929,0.955585047
control,0.041067906,12626,0.654962591,4.175691712,4.238085799,4.075551624,4.220142291,4.168987135
control,0.044702634,13014,0.685481233,4.060859857,4.07262878,4.015873924,4.175233568,3.979703157
control,0.029929916,17337,0.430548651,0.908846076,0.915579328,0.903272787,0.913968739,0.902563451
control,0.032704106,11807,0.599989787,0.837069838,0.84260327,0.829028874,0.838135329,0.83851188
control,0.037176118,15516,0.822479563,3.448310287,3.442362639,3.359215417,3.516824002,3.47483909
control,0.035073882,14285,0.485998847,1.788495371,1.81919471,1.784561504,1.809782502,1.740442768
control,0.039657694,16705,0.78771094,4.784415194,4.792257109,4.687980423,4.855298763,4.802124482
control,0.035668199,12607,0.56543483,1.937915161,1.954617664,1.931242716,1.981569955,1.884230308
control,0.027940694,15880,0.541362527,1.020044888,1.02527881,1.010464879,1.032429834,1.012006029
control,0.027827877,19438,0.675686457,1.05154826,1.065374671,1.042607592,1.05326896,1.044941818
control,0.028586887,15039,0.773549281,0.82530149,0.827177268,0.827858656,0.823925313,0.822244724
control,0.034984831,12229,0.333600403,8.743047356,8.764839399,8.712408117,8.755743857,8.739198053
control,0.030563961,14068,0.710888843,1.262645185,1.270964648,1.264981166,1.275184389,1.239450536
control,0.035146484,11813,0.488655859,3.364201169,3.404258009,3.382328829,3.41119828,3.259019557
control,0.030685991,14043,0.781974989,1.323113183,1.322399806,1.338892094,1.351127944,1.280032891
control,0.028035619,13010,0.729874894,1.372663542,1.371970243,1.373727056,1.372611429,1.372345442
control,0.031133094,14433,0.606057822,1.430205193,1.451715442,1.40406402,1.428885382,1.43615593
control,0.026412382,13694,0.581314871,0.709161385,0.711820013,0.709696488,0.706941869,0.708187169
control,0.023315472,13050,0.727290793,1.15676624,1.1608707,1.156065795,1.154976301,1.155152163
control,0.019163632,15326,0.675616972,0.266983768,0.266499121,0.26578671,0.267632473,0.26801677
control,0.020529453,21266,0.763406978,0.401245124,0.400423164,0.396359211,0.4043041,0.40389402
control,0.023267852,19649,0.709409129,0.62622243,0.626510473,0.621497673,0.630900297,0.625981278
control,0.036216481,19692,0.895903326,0.717036169,0.719372448,0.715255745,0.717410073,0.716106412
control,0.035941331,12173,0.446565453,1.970332689,2.003050423,1.945712509,1.989438247,1.943129578
control,0.026858307,14608,0.315454347,1.054077575,1.053823147,1.055894808,1.058797155,1.047795188
control,0.046460465,19863,0.710120417,4.781697968,4.893256497,4.710947323,4.764867394,4.75772066
control,0.043095625,13286,0.422381028,6.869348082,6.891395729,6.853615635,6.868457449,6.863923517
control,0.034801917,14228,0.460708548,0.959564276,0.960817355,0.95690938,0.968695255,0.951835112
control,0.033688689,23776,0.88140088,3.431119949,3.441817425,3.415084665,3.440533281,3.427044423
control,0.055847137,18647,0.277253169,11.22887361,11.36045744,11.09998089,11.37507108,11.07998501
control,0.032887956,14854,0.679409869,2.263902861,2.302335602,2.223648653,2.270191337,2.259435851
control,0.032221792,24353,0.748342328,1.222967056,1.232960695,1.218298051,1.223392009,1.217217466
control,0.032642134,17802,0.652996164,4.851782163,4.852824617,4.848122213,4.857094399,4.849087422
control,0.033876442,24913,0.627517298,1.471622506,1.477159218,1.442412232,1.502338533,1.464580041
control,0.033163964,16704,0.354572547,1.932246674,1.958322117,1.921416058,1.95578536,1.89346316
control,0.029192383,11963,0.787332514,0.859719141,0.85619765,0.875875501,0.86522919,0.841574224
control,0.031193189,15293,0.581678025,0.907106741,0.906326966,0.900664341,0.918171102,0.903264554
control,0.031308564,14170,0.531689879,1.3001524,1.324545179,1.308129297,1.306649854,1.26128527
control,0.027256213,23680,0.852061238,0.958307553,0.959646849,0.952900752,0.966136572,0.95454604
control,0.030743403,11857,0.598265811,0.929021863,0.929897001,0.93683747,0.933003417,0.916349566
control,0.035281825,11913,0.760526807,2.261692409,2.253332516,2.227664996,2.345604685,2.22016744
control,0.034863662,18735,0.801143651,1.738016871,1.741956338,1.688729951,1.73906729,1.782313907
control,0.032186436,21995,0.50849391,1.697438689,1.729681264,1.686951073,1.702853832,1.670268586
control,0.032203938,13864,0.707342262,0.782672851,0.78492286,0.779653038,0.787350081,0.778765425
control,0.035495043,18649,0.628308826,1.196333113,1.196566182,1.185494917,1.219039045,1.184232308
control,0.036421732,23331,0.72329298,2.565361271,2.582818199,2.540860381,2.603031188,2.534735315
control,0.031418424,14663,0.712488977,1.165311112,1.186861668,1.134463192,1.163889732,1.176029856
control,0.030446172,14682,0.636820656,2.075974697,2.124525235,2.02303275,2.087837447,2.068503357
control,0.039471337,18248,0.764288771,1.062987095,1.064576648,1.057738685,1.068580221,1.061052827
control,0.037799525,15460,0.599118775,1.790559029,1.817740216,1.784283772,1.79802544,1.762186688
control,0.019968477,12332,0.522809251,0.326484434,0.326735966,0.324825722,0.326916069,0.327459979
ABT-199,0.068472753,10040,0.670533568,152.820376,152.8715845,152.8629085,152.8414593,152.705552
ABT-199,0.046203227,5622,0.672759002,23.98213005,24.08241659,23.80603168,24.00519936,24.03487255
ABT-199,0.028187828,5386,0.727600767,2.980594102,2.979515777,2.995232949,2.981066603,2.966561077
ABT-199,0.04879701,16067,0.776274447,37.912674,37.91338068,37.81741924,38.10302987,37.81686621
ABT-199,0.050601134,12456,0.537259164,31.01269272,31.25053074,30.82783429,31.15248582,30.81992005
ABT-199,0.029739587,6557,0.398809663,5.325731461,5.305627373,5.331964414,5.334042194,5.331291861
ABT-199,0.026546159,15569,0.472294447,1.309823874,1.322660993,1.296637829,1.318876047,1.301120628
ABT-199,0.042232461,10325,0.334609115,16.92958472,17.00392277,16.87045398,17.03745644,16.80650568
ABT-199,0.046210769,5649,0.41174108,27.18603962,27.25513075,27.03461867,27.33243206,27.12197701
ABT-199,0.03873584,11203,0.483251246,18.59038947,18.60454931,18.56953173,18.61079496,18.57668186
ABT-199,0.056884095,9780,0.308159915,103.9615064,103.7925969,104.1621225,103.7999316,104.0913746
ABT-199,0.036234369,12655,0.671978053,7.714090766,7.735348873,7.6296115,7.77696222,7.714440469
ABT-199,0.026195166,8615,0.649788668,3.139787101,3.124366364,3.16316807,3.122579859,3.149034112
ABT-199,0.043911153,5272,0.311085067,22.39635889,22.47303411,22.31262877,22.49252466,22.30724801
ABT-199,0.045456228,7590,0.662698335,23.30265683,23.40419667,23.35249321,23.37995244,23.07398501
ABT-199,0.037358112,5332,0.661761219,15.72634702,15.66491221,15.82866356,15.64454745,15.76726488
ABT-199,0.049474472,5431,0.32062518,33.027142,33.14406665,32.84455504,33.16225288,32.95769343
ABT-199,0.08733768,6861,0.268649418,189.4146484,190.0041204,188.6403399,190.1556176,188.8585158
ABT-199,0.036475339,12487,0.556906555,14.28168564,14.26538525,14.28766748,14.27208213,14.3016077
ABT-199,0.03591157,5203,0.374814255,7.398608719,7.436209167,7.376714602,7.442704492,7.338806616
ABT-199,0.032841471,7630,0.286283553,6.21023983,6.205491265,6.20880423,6.214530602,6.212133223
ABT-199,0.065276547,5940,0.681732058,60.38939123,60.47848634,59.87308504,61.27338331,59.93261025
ABT-199,0.05091407,6177,0.309878124,29.19266799,29.24505166,29.14555955,29.25200243,29.12805832
ABT-199,0.054692723,5118,0.647240018,29.02624175,29.32438502,28.98693067,29.19200601,28.60164529
ABT-199,0.050330396,5076,0.623414025,32.53044217,32.74524881,32.3677305,32.51948832,32.48930104
ABT-199,0.047395921,11353,0.909151207,28.33484336,28.46598026,28.11821753,28.30469701,28.45047863
ABT-199,0.04588154,5898,0.631271811,47.51787249,47.41201209,47.53995956,47.36616051,47.7533578
ABT-199,0.035383349,9189,0.541745996,8.749186373,8.761204578,8.735589523,8.754698713,8.745252679
ABT-199,0.044863751,10402,0.40331619,35.50619419,35.4940678,35.53117007,35.48595943,35.51357946
ABT-199,0.040826951,8424,0.462752782,25.01254231,24.9757601,25.04185309,24.98093083,25.05162523
ABT-199,0.02776539,6096,0.661298487,4.444820867,4.455815431,4.446248679,4.459010896,4.418208462
ABT-199,0.037203451,7249,0.684526639,19.86131969,19.89166599,19.8096833,19.88517754,19.85875193
ABT-199,0.048709584,9981,0.623770289,56.33670614,56.40712981,56.23959412,56.35620675,56.34389388
ABT-199,0.044097668,8238,0.514248885,37.8983438,37.90569942,37.89297555,37.97521996,37.81948027
ABT-199,0.045668509,5792,0.589402618,33.09105092,33.17530927,33.04421573,33.2508729,32.89380578
ABT-199,0.037860268,8230,0.540010025,31.5313522,31.48554777,31.57677184,31.49618253,31.56690667
ABT-199,0.03072347,21744,0.663020639,21.40553182,21.3572515,21.44695616,21.33686775,21.48105189
ABT-199,0.033989955,5960,0.574575128,24.8761211,24.8219071,24.94140111,24.78748338,24.95369283
ABT-199,0.02128867,22347,0.744153312,2.75403671,2.746415746,2.761955569,2.741957256,2.765818268
ABT-199,0.05265107,14184,0.388211053,62.25163546,62.37187745,62.16410556,62.40387943,62.0666794
ABT-199,0.052462862,15656,0.344839266,139.1357164,138.86163,139.353961,138.7668642,139.5604104
ABT-199,0.050385551,14261,0.269076237,113.9152526,113.7001664,114.1187709,113.6937791,114.1482938
ABT-199,0.035143693,9444,0.641454273,21.11989576,21.09340667,21.13471681,21.10340863,21.14805093
ABT-199,0.017565007,6102,0.570928906,0.249431893,0.249235578,0.249618801,0.249370667,0.249502524
ABT-199,0.049137756,5144,0.53552423,29.91467888,30.25780418,29.83026958,30.14433482,29.42630694
ABT-199,0.035672285,17506,0.550185289,29.64414242,29.57502123,29.70960439,29.60305612,29.68888795
ABT-199,0.031742214,13176,0.857270131,46.39666128,46.36753307,46.56350654,45.95619796,46.69940757
ABT-199,0.029419826,18164,0.642069286,18.41898766,18.353789,18.48072699,18.3532267,18.48820797
ABT-199,0.019415102,8004,0.558193903,0.333613944,0.334145807,0.33039949,0.334990492,0.334919988
ABT-199,0.028279079,5400,0.561288588,6.862680017,6.858237676,6.873079792,6.85006576,6.869336837
ABT-199,0.030527304,19216,0.783361667,36.51467417,36.40308499,36.75756601,36.29174569,36.60629997
ABT-199,0.034083469,5891,0.446492443,15.41933402,15.43505133,15.41225159,15.42469148,15.40534169
ABT-199,0.030044835,8086,0.898899503,6.627917637,6.670606155,6.624644901,6.606917285,6.609502207
ABT-199,0.031546088,5994,0.412071249,13.00708146,13.00120782,13.01147334,13.00268606,13.01295864
ABT-199,0.042162589,6356,0.756645699,23.15070581,23.13219201,23.02228098,23.24497141,23.20337886
ABT-199,0.039160105,6717,0.570304546,26.93898853,26.94561833,26.91903052,26.91601094,26.97529433
ABT-199,0.048196921,5562,0.69534998,36.63107254,36.73956746,36.42785254,36.61970962,36.73716056
ABT-199,0.037846541,22976,0.781392503,61.70573444,61.52855568,62.20905013,61.47291259,61.61241936
ABT-199,0.022239732,5299,0.551498054,0.981350597,0.981798207,0.982142322,0.985239926,0.976221934
ABT-199,0.030006614,6251,0.631854671,4.045800808,4.034379434,4.069530421,4.085899824,3.993393552
ABT-199,0.050344424,5603,0.560926158,57.38798829,57.49129469,57.29600032,57.39679787,57.36786026
ABT-199,0.027502995,5519,0.826583562,8.219471366,8.20248996,8.25824521,8.168176314,8.248973983
ABT-199,0.036372344,5129,0.616097032,17.40644692,17.38073719,17.42455804,17.33392104,17.4865714
ABT-199,0.03099537,6507,0.45140186,16.62969612,16.55883268,16.73422742,16.55329915,16.67242523
ABT-199,0.024516548,9375,0.383928127,1.892737376,1.89542306,1.89182542,1.897254066,1.886446958
ABT-199,0.054857226,7347,0.360925725,91.67743372,91.63922151,91.75746116,91.65718317,91.65586905
ABT-199,0.021316486,7958,0.539319518,0.659503019,0.661970108,0.659742353,0.661119507,0.65518011
ABT-199,0.032563601,12167,0.779234304,7.780300909,7.797048941,7.77892216,7.833176131,7.712056402
ABT-199,0.020095901,12087,0.694518257,0.235530507,0.234866512,0.233685679,0.240347078,0.233222757
ABT-199,0.039137459,8104,0.296747534,25.52264553,25.54729612,25.50838133,25.56172292,25.47318177
ABT-199,0.017894033,14798,0.534196516,0.554921985,0.555169754,0.555098008,0.554226775,0.555193403
ABT-199,0.028353672,16339,0.831375939,39.79810701,39.69037244,40.22667998,39.48139012,39.7939855
ABT-199,0.015931685,12019,0.674075506,0.115762266,0.115399928,0.116026134,0.115591524,0.116031476
ABT-199,0.030115549,7815,0.682171122,10.58303102,10.5761911,10.5772241,10.61269621,10.56601269
ABT-199,0.036882768,7977,0.38185985,31.53157086,31.53389624,31.52086079,31.53868993,31.53283647
ABT-199,0.060865428,9066,0.30943056,126.6356869,126.6959673,126.5350812,126.7291913,126.582508
ABT-199,0.023058984,6023,0.44576734,7.14429881,7.104306927,7.182287777,7.114564936,7.176035598
ABT-199,0.028631969,5317,0.80039472,9.4035397,9.367911892,9.441666079,9.390734168,9.413846663
ABT-199,0.027656243,20905,0.761151637,27.81310606,27.72001562,27.84007236,27.68735017,28.00498608
ABT-199,0.027022989,5492,0.280815516,12.1614655,12.13093845,12.19418384,12.13663579,12.18410391
ABT-199,0.030910214,6111,0.493400676,13.00776555,13.0528439,12.96794937,13.02832232,12.98194659
ABT-199,0.030043704,16995,0.809437374,18.43586603,18.41635216,18.48810893,18.38758634,18.45141668
ABT-199,0.040526302,6194,0.686818009,21.23307112,21.30065681,20.91910112,21.46661543,21.24591114
ABT-199,0.024734077,12538,0.275118616,7.643901394,7.631482596,7.654683677,7.629837778,7.659601525
ABT-199,0.033658096,6249,0.362220385,11.70481146,11.77927984,11.65378526,11.7301459,11.65603485
ABT-199,0.035072206,6398,0.657651286,19.0780039,19.17412116,18.9917627,19.12835115,19.01778061
ABT-199,0.042768374,6884,0.608727341,28.28679358,28.52778288,28.17163814,28.33847883,28.10927449
ABT-199,0.032501257,13152,0.871668697,15.22467154,15.26641974,15.16364522,15.23750473,15.23111648
ABT-199,0.026271208,7693,0.528146534,12.67815779,12.65886767,12.69977904,12.62590744,12.72807702
ABT-199,0.023443954,15268,0.577978138,7.4748766,7.454090016,7.481845098,7.458048571,7.505522714
ABT-199,0.032352775,5914,0.30388121,13.17229971,13.22542982,13.12097627,13.21604178,13.12675097
ABT-199,0.01856469,13373,0.452728061,1.066134105,1.064074922,1.067237394,1.064521234,1.068702868
ABT-199,0.024718259,8820,0.548142258,5.335603426,5.341009919,5.3293134,5.33965891,5.332431473
ABT-199,0.03164212,10947,0.444976456,19.74317957,19.73531993,19.75553506,19.73196718,19.74989609
ABT-199,0.041339323,5042,0.669173048,31.54279731,31.77912639,31.50228257,31.58510118,31.30467908
ABT-199,0.049736846,7785,0.416173371,44.15267102,44.24283506,44.07983211,44.31732073,43.97069618
ABT-199,0.044881431,6472,0.541207991,39.12300046,39.15241079,39.09703513,39.12903671,39.11351922
ABT-199,0.038834418,8773,0.256164176,23.58705372,23.60341374,23.55664655,23.6156943,23.57246027
ABT-199,0.024231804,21349,0.762827119,3.909579482,3.905850325,3.918397988,3.902917715,3.911151901
ABT-199,0.044577455,7108,0.543902936,41.85020758,41.86413406,41.84410765,41.86533587,41.82725275
ABT-199,0.048713013,12904,0.455119238,43.6768097,43.73735516,43.66579126,43.76995865,43.53413374
ABT-199,0.022487109,17267,0.602562716,0.601598584,0.611314713,0.59434747,0.601880082,0.598852073
ABT-199,0.031776194,9056,0.290469235,9.557734056,9.564312047,9.515152545,9.540904714,9.61056692
ABT-199,0.034681312,9229,0.641041699,12.24171661,12.24934362,12.22830017,12.26267283,12.22654983
ABT-199,0.03382584,10654,0.697656546,11.46562325,11.50370846,11.42353251,11.45314848,11.48210355
ABT-199,0.041346092,7698,0.578036897,30.68098878,30.74173611,30.64251528,30.69945682,30.64024691
ABT-199,0.032991291,7430,0.609967789,13.39021735,13.34373453,13.41887535,13.3608536,13.43740592
ABT-199,0.034752441,9451,0.707117365,13.61350366,13.64307192,13.57816109,13.62444101,13.6083406
ABT-199,0.044489531,11324,0.579618196,52.30330318,52.25615083,52.37152583,52.267933,52.31760307
ABT-199,0.025334785,10082,0.79290488,1.787866475,1.797978472,1.797089044,1.796867788,1.759530595
ABT-199,0.047970845,7687,0.827973001,54.99475305,55.00932648,55.05180464,54.92528858,54.9925925
ABT-199,0.037521173,5447,0.64503797,26.31828863,26.28506691,26.35677329,26.28876067,26.34255364
ABT-199,0.033768926,8822,0.655929117,10.39697038,10.45082016,10.32322953,10.41720641,10.39662544
ABT-199,0.025091105,13498,0.661391582,1.951735985,1.964111256,1.947088406,1.95610272,1.939641557
ABT-199,0.041021486,9389,0.629613458,27.7635941,27.82579263,27.71347412,27.78721172,27.72789792
ABT-199,0.022336181,12989,0.775572426,0.729148472,0.73950112,0.721685145,0.727976358,0.727431264
ABT-199,0.021198198,10165,0.555709666,0.464633551,0.468670982,0.461547526,0.466074182,0.462241512
ABT-199,0.02718197,12263,0.571749464,17.09828948,17.00904624,17.19241224,17.02607352,17.1656259
ABT-199,0.021309567,17997,0.679312236,0.503019202,0.504591529,0.503332691,0.507410889,0.496741698
ABT-199,0.022392622,17391,0.639316266,0.657354734,0.662755313,0.648981073,0.659471385,0.658211167
ABT-199,0.043170383,6845,0.625483738,49.87245167,49.73815271,50.00389196,49.79540342,49.95235859
ABT-199,0.050850304,10110,0.562758439,74.5742476,74.56401119,74.62464307,74.49711553,74.61122062
ABT-199,0.025174583,21312,0.619932753,4.234958078,4.226195486,4.240625187,4.230877961,4.242133679
ABT-199,0.043266707,13319,0.652102923,34.37287969,34.38960619,34.29222336,34.47840136,34.33128785
ABT-199,0.038654752,9633,0.327388194,35.72694489,35.67328735,35.79030534,35.67176628,35.77242058
ABT-199,0.029212856,18931,0.611525667,4.771114855,4.788930574,4.788729905,4.77062458,4.736174361
ABT-199,0.021188921,15143,0.579550477,0.607263289,0.607432227,0.607158455,0.610849502,0.603612971
ABT-199,0.030004177,12545,0.613982341,13.17225309,13.13626449,13.23400337,13.1182103,13.20053421
ABT-199,0.031477957,25596,0.768924614,14.79559042,14.76916993,14.79992048,14.79206752,14.82120376
ABT-199,0.029761719,12543,0.661860229,12.07561799,12.05056782,12.12103116,12.04885158,12.08202139
ABT-199,0.03438237,15998,0.681513868,10.37970768,10.4254356,10.37471218,10.39059792,10.32808503
ABT-199,0.028531158,10717,0.467201541,7.700160686,7.685823409,7.698835063,7.707088462,7.708895811
ABT-199,0.020811063,12636,0.590241311,0.433978045,0.436574889,0.433499927,0.436008946,0.42982842
ABT-199,0.021999969,7128,0.518608246,0.745153503,0.74955447,0.744631005,0.7476873,0.738741235
ABT-199,0.024604056,7081,0.736215224,8.113578982,8.082758406,8.155068058,8.08594234,8.130547125
ABT-199,0.04681755,5305,0.463174994,116.4461957,115.8111999,116.9136239,115.9816668,117.0782922
ABT-199,0.040839636,13456,0.719846141,64.58296667,64.48020515,64.80846062,64.42236376,64.62083716
ABT-199,0.031646053,11989,0.620219217,30.79412471,30.67629842,30.84970028,30.69702076,30.95347938
ABT-199,0.028880492,13744,0.918909152,53.67021719,53.17588496,53.46167799,53.45916002,54.58414578
ABT-199,0.022246515,22674,0.668134516,6.200281196,6.182382284,6.221886894,6.178125211,6.218730395
ABT-199,0.029709713,12259,0.683944737,23.45130501,23.41735318,23.54372682,23.34912256,23.49501746
ABT-199,0.029384027,11469,0.647888633,19.80939792,19.75432544,19.82950996,19.74582374,19.90793253
ABT-199,0.031216302,5462,0.487500636,24.75984992,24.64406382,24.81256544,24.7014463,24.88132413
ABT-199,0.020811691,20744,0.658308342,0.735259628,0.738768414,0.725893888,0.741904287,0.734471922
ABT-199,0.031739812,7920,0.475740604,9.400049242,9.474162249,9.3396155,9.449444028,9.336975192
ABT-199,0.024950827,13940,0.492596131,7.171135194,7.164045511,7.176079903,7.162347031,7.18206833
ABT-199,0.042560616,8250,0.598180783,65.91578186,65.75254662,66.11125821,65.81493387,65.98438875
ABT-199,0.036714525,11079,0.506562156,44.28764372,44.20044657,44.42954565,44.18161608,44.3389666
ABT-199,0.02674745,13442,0.724727218,3.329630206,3.338866185,3.272655211,3.370696179,3.336303248
ABT-199,0.019321726,5920,0.867829388,4.318779754,4.271930168,4.33247054,4.285396901,4.385321408
ABT-199,0.041341073,6710,0.850536426,53.4812639,53.35056053,53.70113893,53.34176348,53.53159264
ABT-199,0.015731916,21373,0.882558378,0.514587845,0.516386596,0.513529779,0.51467193,0.513763074
ABT-199,0.017564526,26837,0.514720908,0.648244371,0.648877928,0.645922804,0.650559976,0.647616776
ABT-199,0.01414986,13798,0.70038636,0.268951758,0.269290839,0.268393851,0.269393987,0.268728355
ABT-199,0.020906935,8686,0.603787061,5.070624867,5.060279386,5.088967374,5.057549553,5.075703154
ABT-199,0.014745347,16123,0.775503302,0.283581894,0.284063156,0.282692991,0.284097157,0.283474271
ABT-199,0.018197156,17452,0.613111134,0.663443602,0.665019988,0.663605298,0.665450692,0.65969843
ABT-199,0.017010181,19744,0.306899539,0.432404303,0.433717469,0.430648533,0.434381649,0.43086956
ABT-199,0.01867983,5437,0.653112336,2.196074601,2.18591779,2.210593012,2.186921958,2.200865644
ABT-199,0.023233183,14680,0.537610727,8.573663602,8.565292831,8.582676464,8.563854834,8.582830278
ABT-199,0.01438126,14550,0.744839622,0.218066104,0.218573524,0.216519931,0.219879403,0.217291557
ABT-199,0.014820808,10414,0.558645279,0.220658137,0.223108596,0.217103835,0.220851792,0.221568326
ABT-199,0.014001477,11248,0.787994023,0.244578987,0.245120951,0.244230796,0.245187455,0.243776747
ABT-199,0.018374183,16487,0.624522865,3.300867527,3.291321535,3.310195549,3.290462779,3.311490243
ABT-199,0.023594472,5100,0.686291517,1.204062895,1.197510755,1.166501411,1.240521067,1.211718347
ABT-199,0.033802604,17950,0.549353503,46.07365627,46.02808534,46.17004088,45.94440546,46.1520934
ABT-199,0.023327305,18324,0.631591431,1.310296547,1.353906153,1.282006487,1.306973053,1.298300496
ABT-199,0.021793776,6154,0.541455904,7.773324792,7.734726456,7.814319238,7.74731092,7.796942556
ABT-199,0.014697871,22847,0.61026391,0.19824763,0.199286347,0.196309313,0.199558976,0.197835883
ABT-199,0.017246666,20763,0.8423123,2.525470289,2.514441115,2.536675311,2.520557524,2.530207204
ABT-199,0.021768155,11383,0.833903427,6.487169403,6.47352505,6.494703374,6.478432416,6.502016774
ABT-199,0.014743046,5196,0.681260963,0.380550955,0.382591362,0.379883052,0.38053476,0.379194645
ABT-199,0.014690561,14693,0.805214665,0.192171291,0.193912472,0.188967346,0.193726277,0.192079069
ABT-199,0.03094388,12621,0.50860008,30.94684018,30.91519954,30.99623074,30.80860181,31.06732862
ABT-199,0.03115637,10698,0.595534026,31.57206827,31.53202806,31.6269118,31.41182513,31.7175081
ABT-199,0.019559955,5847,0.589793355,3.153924772,3.152431494,3.152189394,3.154042202,3.157035999
ABT-199,0.015851297,22422,0.209040015,0.261840937,0.263346514,0.259770243,0.263495848,0.260751144
ABT-199,0.021357479,16181,0.794022758,9.911122183,9.888064078,9.938924314,9.863603923,9.953896419
ABT-199,0.014163654,10081,0.804405554,0.265567492,0.266162931,0.265686837,0.265740859,0.264679342
ABT-199,0.02385095,22924,0.65712271,19.07153223,19.04033701,19.09434768,18.99598315,19.15546106
ABT-199,0.014019557,9407,0.865235765,0.244936895,0.245007477,0.244603521,0.245851447,0.244285136
ABT-199,0.029983049,23710,0.742917956,81.68296612,81.40751842,81.84004039,81.27084295,82.21346273
ABT-199,0.020340715,14680,0.733638661,2.602591991,2.617280354,2.608969917,2.588131167,2.595986527
ABT-199,0.016272628,18601,0.735744892,0.285942103,0.286278831,0.284212746,0.290662087,0.282614746
ABT-199,0.016569681,17161,0.663291803,0.302318205,0.304834417,0.29937277,0.302531099,0.302534532
ABT-199,0.023457196,15215,0.598561545,13.87354694,13.83326024,13.88874029,13.8292403,13.94294692
ABT-199,0.023733228,15008,0.287188888,14.14039859,14.09203471,14.18635565,14.10051037,14.18269364
ABT-199,0.02008097,13312,0.629288289,4.12650946,4.123426815,4.13472857,4.124170045,4.123712409
ABT-199,0.01397006,10569,0.683514008,0.256698121,0.256927698,0.256359568,0.256893408,0.256611811
ABT-199,0.02473202,11118,0.792847531,9.986443434,9.951715803,10.0441443,9.971342044,9.978571586
ABT-199,0.025121393,6869,0.712217642,9.824052026,9.777711725,9.896667578,9.822020385,9.799808417
ABT-199,0.016525182,14679,0.650851565,0.276085111,0.275476441,0.273833855,0.280947173,0.274082974
ABT-199,0.014019843,12974,0.787515679,0.266125333,0.266335558,0.266219982,0.266191058,0.265754733
ABT-199,0.020240917,13153,0.727573053,4.21138667,4.208817524,4.212143221,4.21023242,4.214353515
ABT-199,0.025517977,18799,0.6869274,14.26428203,14.25242044,14.29957745,14.23634213,14.26878811
